,City,Name,Score,Link,Pets,Price
458,Barcelona,Hotel Viladomat by Silken,7.8,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,696
459,Barcelona,Bcn Paseo De Gracia Rocamora Apartment,9.1,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,275
460,Barcelona,Onix Rambla,8.6,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,80
461,Barcelona,Hostal Poblenou B&B,8.8,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,89
464,Barcelona,Ona Hotels Arya,8.8,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,105
465,Barcelona,Atlantis by Atbcn,8.7,https://www.booking.com/hotel/es/barcelo-atenea-mar.en-gb.html,Pets are not allowed.,71
466,Barcelona,Hostal Parisien,7.4,https://www.booking.com/hotel/es/wilson.en-gb.html,Pets are not allowed.,103
467,Barcelona,Dalí Residence,6.6,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,154
468,Barcelona,Hostal Lesseps,8.1,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,93
470,Barcelona,HCC Regente,8.3,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,77
471,Barcelona,Hostal Operaramblas,8.9,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",68
472,Barcelona,Hostal Ideal Sants,5.8,https://www.booking.com/hotel/es/arts-barcelona.en-gb.html,"Free!


All pools are free of charge",54
473,Barcelona,Best House Best Place,9.3,https://www.booking.com/hotel/es/paseo-de-gracia-apartments-barcelona.en-gb.html,Pets are not allowed.,235
474,Barcelona,Cosmo Apartments Rambla Catalunya,9.0,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,210
475,Barcelona,Serennia Exclusive Rooms,8.7,https://www.booking.com/hotel/es/w-barcelona.en-gb.html,Pets are allowed. Charges may be applicable.,66
476,Barcelona,Beach Penthouse near center with pool,8.0,https://www.booking.com/hotel/es/negresco-princess.en-gb.html,Pets are not allowed.,241
477,Barcelona,Chic & Basic Born Boutique Hotel,8.4,https://www.booking.com/hotel/es/h10-cubik.en-gb.html,Pets are not allowed.,71
478,Barcelona,Hesperia Barcelona Barri Gòtic,8.5,https://www.booking.com/hotel/es/avenidapalace.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",81
479,Barcelona,HCC Lugano,8.4,https://www.booking.com/hotel/es/diagonal-zero.en-gb.html,Pets are allowed on request. Charges may be applicable.,76
480,Barcelona,Mayerling Abamita Apartments,8.8,https://www.booking.com/hotel/es/ciutat-de-barcelona.en-gb.html,Pets are not allowed.,173
481,Barcelona,Hostal Bcn Port,8.0,https://www.booking.com/hotel/es/ayre-rosellon.en-gb.html,Pets are not allowed.,36
482,Barcelona,Apkeys Barcino Balmes,7.8,https://www.booking.com/hotel/es/sbicaria.en-gb.html,Pets are allowed on request. Charges may be applicable.,220
483,Barcelona,Charmsuites Paralel,7.7,https://www.booking.com/hotel/es/ohla.en-gb.html,Pets are not allowed.,104
484,Barcelona,Kabul Party Hostel Barcelona,8.6,https://www.booking.com/hotel/es/sb-glow-4-sup.en-gb.html,Pets are allowed. Charges may be applicable.,75
485,Barcelona,AinB Sagrada Familia Apartments,7.8,https://www.booking.com/hotel/es/h10-port-vell.en-gb.html,Pets are not allowed.,111
486,Barcelona,Condes de Barcelona,9.0,https://www.booking.com/hotel/es/h10-casa-mimosa.en-gb.html,Pets are not allowed.,162
487,Barcelona,La Casa Gran B&B,9.2,https://www.booking.com/hotel/es/novotel-barcelona-city.en-gb.html,Pets are allowed on request. Charges may be applicable.,150
488,Barcelona,Aspasios Plaza Real Apartments,8.4,https://www.booking.com/hotel/es/travelodge-barcelona-poblenou.en-gb.html,Pets are allowed. Charges may be applicable.,154
491,Barcelona,Apartamentos Navas 2,8.6,https://www.booking.com/hotel/es/hotelaxelbarcelona.en-gb.html,Pets are not allowed.,184
492,Barcelona,TOC Hostel Barcelona,8.8,https://www.booking.com/hotel/es/grandmarina.en-gb.html,Pets are not allowed.,137
494,Barcelona,Ramblas by Pillow,8.8,https://www.booking.com/hotel/es/royal-passeig-de-gracia.en-gb.html,Pets are not allowed.,95
495,Barcelona,Aparthotel Bonanova,8.3,https://www.booking.com/hotel/es/bcn-montjuic.en-gb.html,Pets are not allowed.,111
496,Barcelona,Factory Suites Barcelona,8.8,https://www.booking.com/hotel/es/kimpton-barcelona.en-gb.html,"Free!
Pets are allowed. No extra charges.",139
497,Barcelona,Boat Hotel Barcelona,9.3,https://www.booking.com/hotel/es/gran-via-678.en-gb.html,Pets are not allowed.,211
499,Barcelona,Chic & Basic Lemon Boutique Hotel,8.9,https://www.booking.com/hotel/es/vinccimaritimo.en-gb.html,Pets are not allowed.,69
0,Amsterdam,Park Plaza Victoria Amsterdam,8.4,https://www.booking.com/hotel/nl/victoria.en-gb.html,Pets are not allowed.,175
1,Amsterdam,Park Inn by Radisson Amsterdam City West,8.3,https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,Pets are not allowed.,130
2,Amsterdam,"Radisson Blu Hotel, Amsterdam City Center",8.5,https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html,Pets are not allowed.,225
5,Amsterdam,Monet Garden Hotel Amsterdam,9.0,https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html,Pets are allowed on request. Charges may be applicable.,175
6,Amsterdam,NH City Centre Amsterdam,8.3,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html,Pets are not allowed.,162
7,Amsterdam,Hotel Mai Amsterdam,8.7,https://www.booking.com/hotel/nl/notting-hill.en-gb.html,Pets are not allowed.,90
8,Amsterdam,NH Collection Amsterdam Barbizon Palace,8.5,https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html,Pets are allowed on request. Charges may be applicable.,180
9,Amsterdam,citizenM Amstel Amsterdam,9.1,https://www.booking.com/hotel/nl/estherea.en-gb.html,Pets are not allowed.,143
10,Amsterdam,Holiday Inn Express Amsterdam - North Riverside,8.5,https://www.booking.com/hotel/nl/cc.en-gb.html,Pets are not allowed.,83
11,Amsterdam,Urban Lodge Hotel,8.4,https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html,Pets are not allowed.,66
12,Amsterdam,Van der Valk Hotel Amsterdam - Amstel,8.8,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html,Pets are not allowed.,145
13,Amsterdam,NH Collection Amsterdam Flower Market,8.6,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html,Pets are allowed. Charges may be applicable.,170
14,Amsterdam,Hotel Jakarta Amsterdam,9.0,https://www.booking.com/hotel/nl/amshofpark.en-gb.html,Pets are not allowed.,199
15,Amsterdam,Mercure Amsterdam Sloterdijk Station,8.4,https://www.booking.com/hotel/nl/terminus.en-gb.html,Pets are not allowed.,101
16,Amsterdam,Pestana Amsterdam Riverside,8.6,https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html,Pets are not allowed.,181
17,Amsterdam,NH Collection Amsterdam Grand Hotel Krasnapolsky,8.8,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html,Pets are allowed. Charges may be applicable.,207
18,Amsterdam,ibis Amsterdam Centre,7.8,https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",123
19,Amsterdam,"The Hoxton, Amsterdam",9.0,https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html,Pets are not allowed.,165
20,Amsterdam,Park Plaza Vondelpark Amsterdam,8.8,https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html,Pets are allowed on request. Charges may be applicable.,158
21,Amsterdam,Hotel Amsterdam De Roode Leeuw,7.8,https://www.booking.com/hotel/nl/jollycarlton.en-gb.html,Pets are allowed. Charges may be applicable.,132
22,Amsterdam,Inntel Hotels Amsterdam Centre,8.2,https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html,Pets are not allowed.,181
24,Amsterdam,Botel,7.5,https://www.booking.com/hotel/nl/citadel.en-gb.html,Pets are not allowed.,60
25,Amsterdam,Botel,7.5,https://www.booking.com/hotel/nl/victoria.en-gb.html,Pets are not allowed.,60
26,Amsterdam,Mr. Jordaan,9.3,https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,Pets are not allowed.,117
27,Amsterdam,XO Hotels City Centre,7.3,https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html,Pets are not allowed.,132
28,Amsterdam,the niu Fender,8.4,https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html,Pets are not allowed.,96
30,Amsterdam,Hampton By Hilton Amsterdam Arena Boulevard,8.6,https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html,Pets are allowed on request. Charges may be applicable.,88
31,Amsterdam,Andaz Amsterdam Prinsengracht - a concept by Hyatt,9.1,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html,Pets are not allowed.,306
32,Amsterdam,Krisotel,8.9,https://www.booking.com/hotel/nl/notting-hill.en-gb.html,Pets are not allowed.,90
33,Amsterdam,DoubleTree by Hilton Amsterdam Centraal Station,8.2,https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html,Pets are allowed on request. Charges may be applicable.,155
34,Amsterdam,Amadi Panorama Hotel,8.5,https://www.booking.com/hotel/nl/estherea.en-gb.html,Pets are not allowed.,95
35,Amsterdam,Leonardo Hotel Amsterdam Rembrandtpark,8.1,https://www.booking.com/hotel/nl/cc.en-gb.html,Pets are not allowed.,123
37,Amsterdam,Renaissance Amsterdam Hotel,8.1,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html,Pets are not allowed.,184
38,Amsterdam,Swissôtel Amsterdam,8.7,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html,Pets are allowed. Charges may be applicable.,148
39,Amsterdam,Holiday Inn Express Amsterdam Arena Towers,8.1,https://www.booking.com/hotel/nl/amshofpark.en-gb.html,Pets are not allowed.,87
40,Amsterdam,Hotel City Garden Amsterdam,7.3,https://www.booking.com/hotel/nl/terminus.en-gb.html,Pets are not allowed.,59
41,Amsterdam,Hotel Luxer,8.8,https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html,Pets are not allowed.,127
42,Amsterdam,WestCord City Centre Hotel,8.2,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html,Pets are allowed. Charges may be applicable.,123
43,Amsterdam,Hyatt Regency Amsterdam,8.8,https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",204
44,Amsterdam,Amsterdam Wiechmann Hotel,8.6,https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html,Pets are not allowed.,146
45,Amsterdam,Grand Hotel Amrâth Amsterdam,8.1,https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html,Pets are allowed on request. Charges may be applicable.,206
46,Amsterdam,The Hendrick's Hotel,9.3,https://www.booking.com/hotel/nl/jollycarlton.en-gb.html,Pets are allowed. Charges may be applicable.,200
47,Amsterdam,Yays Bickersgracht Concierged Boutique Apartments,8.5,https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html,Pets are not allowed.,371
49,Amsterdam,The Times Hotel,8.5,https://www.booking.com/hotel/nl/citadel.en-gb.html,Pets are not allowed.,123
50,Amsterdam,Nova Hotel,8.1,https://www.booking.com/hotel/nl/victoria.en-gb.html,Pets are not allowed.,186
51,Amsterdam,WestCord Fashion Hotel Amsterdam,8.4,https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,Pets are not allowed.,113
52,Amsterdam,Hotel Okura Amsterdam – The Leading Hotels of the World,8.9,https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html,Pets are not allowed.,214
53,Amsterdam,Hotel City Garden Amsterdam,7.3,https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html,Pets are not allowed.,59
55,Amsterdam,Room Mate Aitana,8.9,https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html,Pets are allowed on request. Charges may be applicable.,207
56,Amsterdam,Zoku Amsterdam,9.0,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html,Pets are not allowed.,144
57,Amsterdam,Hans Brinker Hostel Amsterdam,7.8,https://www.booking.com/hotel/nl/notting-hill.en-gb.html,Pets are not allowed.,49
58,Amsterdam,Dream Hotel Amsterdam,8.2,https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html,Pets are allowed on request. Charges may be applicable.,117
59,Amsterdam,Motel One Amsterdam-Waterlooplein,9.0,https://www.booking.com/hotel/nl/estherea.en-gb.html,Pets are not allowed.,133
60,Amsterdam,Travel Hotel Amsterdam,6.8,https://www.booking.com/hotel/nl/cc.en-gb.html,Pets are not allowed.,57
61,Amsterdam,Mövenpick Hotel Amsterdam City Centre,8.4,https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html,Pets are not allowed.,139
62,Amsterdam,Eden hotel Amsterdam,8.1,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html,Pets are not allowed.,187
63,Amsterdam,Boutique Hotel Notting Hill,8.7,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html,Pets are allowed. Charges may be applicable.,154
64,Amsterdam,Conservatorium Hotel,9.1,https://www.booking.com/hotel/nl/amshofpark.en-gb.html,Pets are not allowed.,444
65,Amsterdam,Hotel Sint Nicolaas,8.8,https://www.booking.com/hotel/nl/terminus.en-gb.html,Pets are not allowed.,149
66,Amsterdam,Singel Hotel Amsterdam,8.5,https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html,Pets are not allowed.,131
67,Amsterdam,DoubleTree by Hilton Hotel Amsterdam - NDSM Wharf,8.6,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html,Pets are allowed. Charges may be applicable.,86
68,Amsterdam,Hotel Mansion,8.1,https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",143
69,Amsterdam,"art'otel amsterdam, part of Radisson Hotel Group",8.5,https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html,Pets are not allowed.,239
70,Amsterdam,The Bank Hotel,8.4,https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html,Pets are allowed on request. Charges may be applicable.,121
71,Amsterdam,Amsterdam Marriott Hotel,8.5,https://www.booking.com/hotel/nl/jollycarlton.en-gb.html,Pets are allowed. Charges may be applicable.,192
72,Amsterdam,Hotel Arena,8.3,https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html,Pets are not allowed.,175
74,Amsterdam,Joy Hotel,8.2,https://www.booking.com/hotel/nl/citadel.en-gb.html,Pets are not allowed.,78
75,Amsterdam,Hotel The Exchange,8.1,https://www.booking.com/hotel/nl/victoria.en-gb.html,Pets are not allowed.,102
76,Amsterdam,Hotel Casa Amsterdam,8.5,https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,Pets are not allowed.,126
77,Amsterdam,Hotel Roemer Amsterdam,8.1,https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html,Pets are not allowed.,80
78,Amsterdam,Hotel CC,8.1,https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html,Pets are not allowed.,154
80,Amsterdam,Hotel Ben Centre,6.3,https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html,Pets are allowed on request. Charges may be applicable.,59
81,Amsterdam,Hotel Hermitage Amsterdam,7.1,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html,Pets are not allowed.,96
82,Amsterdam,De Jonker Urban Studios & Suites,8.3,https://www.booking.com/hotel/nl/notting-hill.en-gb.html,Pets are not allowed.,90
83,Amsterdam,De L’Europe Amsterdam – The Leading Hotels of the World,9.1,https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html,Pets are allowed on request. Charges may be applicable.,414
84,Amsterdam,Hotel Espresso,8.1,https://www.booking.com/hotel/nl/estherea.en-gb.html,Pets are not allowed.,75
85,Amsterdam,Corendon City Hotel Amsterdam,8.1,https://www.booking.com/hotel/nl/cc.en-gb.html,Pets are not allowed.,111
86,Amsterdam,Max Brown Hotel Canal District,8.4,https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html,Pets are not allowed.,124
87,Amsterdam,Yays Oostenburgergracht Concierged Boutique Apartments,8.6,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html,Pets are not allowed.,133
88,Amsterdam,Hotel Cornelisz,8.5,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html,Pets are allowed. Charges may be applicable.,96
89,Amsterdam,Conscious Hotel Westerpark,8.8,https://www.booking.com/hotel/nl/amshofpark.en-gb.html,Pets are not allowed.,75
90,Amsterdam,Hotel Nes,8.1,https://www.booking.com/hotel/nl/terminus.en-gb.html,Pets are not allowed.,122
91,Amsterdam,Hotel Continental Amsterdam,6.8,https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html,Pets are not allowed.,57
92,Amsterdam,Best Western Amsterdam,7.8,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html,Pets are allowed. Charges may be applicable.,75
93,Amsterdam,Hotel De Hallen,8.7,https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",85
94,Amsterdam,Grand Hotel Downtown,7.8,https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html,Pets are not allowed.,144
95,Amsterdam,City Hotel Amsterdam,8.1,https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html,Pets are allowed on request. Charges may be applicable.,156
96,Amsterdam,Sir Adam Hotel,9.0,https://www.booking.com/hotel/nl/jollycarlton.en-gb.html,Pets are allowed. Charges may be applicable.,160
97,Amsterdam,New West Inn Amsterdam,7.5,https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html,Pets are not allowed.,75
99,Amsterdam,Hotel2Stay,8.7,https://www.booking.com/hotel/nl/citadel.en-gb.html,Pets are not allowed.,97
100,Amsterdam,Hotel2Stay,8.7,https://www.booking.com/hotel/nl/victoria.en-gb.html,Pets are not allowed.,97
101,Amsterdam,Hard Rock Hotel Amsterdam American,9.0,https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,Pets are not allowed.,261
102,Amsterdam,Nadia Hotel,7.9,https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html,Pets are not allowed.,112
103,Amsterdam,The Old Nickel Hotel,7.2,https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html,Pets are not allowed.,96
105,Amsterdam,YOTEL Amsterdam,8.2,https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html,Pets are allowed on request. Charges may be applicable.,99
106,Amsterdam,Bilderberg Garden Hotel,8.0,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html,Pets are not allowed.,169
107,Amsterdam,Hotel Doria,7.4,https://www.booking.com/hotel/nl/notting-hill.en-gb.html,Pets are not allowed.,102
108,Amsterdam,XO Hotels Couture,8.8,https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html,Pets are allowed on request. Charges may be applicable.,87
109,Amsterdam,Best Western Dam Square Inn,7.9,https://www.booking.com/hotel/nl/estherea.en-gb.html,Pets are not allowed.,113
110,Amsterdam,Budget Hotel Tourist Inn,8.3,https://www.booking.com/hotel/nl/cc.en-gb.html,Pets are not allowed.,119
111,Amsterdam,Sofitel Legend The Grand Amsterdam,9.1,https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html,Pets are not allowed.,419
112,Amsterdam,a&o Amsterdam Zuidoost,7.7,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html,Pets are not allowed.,76
113,Amsterdam,MEININGER Hotel Amsterdam City West,8.2,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html,Pets are allowed. Charges may be applicable.,74
114,Amsterdam,Mozart Hotel,7.6,https://www.booking.com/hotel/nl/amshofpark.en-gb.html,Pets are not allowed.,139
115,Amsterdam,Hotel Abba,8.0,https://www.booking.com/hotel/nl/terminus.en-gb.html,Pets are not allowed.,56
116,Amsterdam,Residence Inn by Marriott Amsterdam Houthavens,8.5,https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html,Pets are not allowed.,118
117,Amsterdam,Hotel Die Port van Cleve,8.5,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html,Pets are allowed. Charges may be applicable.,175
118,Amsterdam,The College Hotel,8.4,https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",154
119,Amsterdam,Budget Hotel Ben,7.1,https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html,Pets are not allowed.,59
120,Amsterdam,Moxy Amsterdam Houthavens,8.3,https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html,Pets are allowed on request. Charges may be applicable.,95
121,Amsterdam,Short Stay Group Harbour Apartments Amsterdam,7.7,https://www.booking.com/hotel/nl/jollycarlton.en-gb.html,Pets are allowed. Charges may be applicable.,149
122,Amsterdam,Amsterdam ID Aparthotel,8.6,https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html,Pets are not allowed.,143
124,Amsterdam,Dikker & Thijs Hotel,8.4,https://www.booking.com/hotel/nl/citadel.en-gb.html,Pets are not allowed.,191
125,Amsterdam,Dikker & Thijs Hotel,8.4,https://www.booking.com/hotel/nl/victoria.en-gb.html,Pets are not allowed.,191
126,Amsterdam,Four Elements Hotel,8.3,https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,Pets are not allowed.,92
127,Amsterdam,Hotel Aalders,9.0,https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html,Pets are not allowed.,122
128,Amsterdam,The Student Hotel Amsterdam City,8.7,https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html,Pets are not allowed.,122
130,Amsterdam,Fletcher Hotel Amsterdam,7.4,https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html,Pets are allowed on request. Charges may be applicable.,143
131,Amsterdam,Waldorf Astoria Amsterdam,9.4,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html,Pets are not allowed.,675
132,Amsterdam,Holiday Inn Express Amsterdam - City Hall,8.6,https://www.booking.com/hotel/nl/notting-hill.en-gb.html,Pets are not allowed.,139
133,Amsterdam,Hotel V Nesplein,9.0,https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html,Pets are allowed on request. Charges may be applicable.,314
134,Amsterdam,ibis Styles Amsterdam City,8.3,https://www.booking.com/hotel/nl/estherea.en-gb.html,Pets are not allowed.,109
135,Amsterdam,Holiday Inn Express Amsterdam - Sloterdijk Station,8.1,https://www.booking.com/hotel/nl/cc.en-gb.html,Pets are not allowed.,95
136,Amsterdam,Catalonia Vondel Amsterdam,8.6,https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html,Pets are not allowed.,102
137,Amsterdam,Delta Hotel City Center,6.8,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html,Pets are not allowed.,118
138,Amsterdam,Hotel van de Vijsel,8.6,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html,Pets are allowed. Charges may be applicable.,91
139,Amsterdam,ibis Styles Amsterdam Central Station,7.9,https://www.booking.com/hotel/nl/amshofpark.en-gb.html,Pets are not allowed.,110
140,Amsterdam,Lloyd Hotel,8.0,https://www.booking.com/hotel/nl/terminus.en-gb.html,Pets are not allowed.,91
141,Amsterdam,Prinsengracht Hotel,8.1,https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html,Pets are not allowed.,169
142,Amsterdam,Banks Mansion - All Inclusive Boutique Hotel,9.3,https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html,Pets are allowed. Charges may be applicable.,282
143,Amsterdam,Leonardo Hotel Amsterdam City Center,7.9,https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html,"Free!
Pets are allowed on request. No extra charges.",86
144,Amsterdam,easyHotel Amsterdam Arena Boulevard,7.8,https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html,Pets are not allowed.,72
145,Amsterdam,Hotel Levell,8.6,https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html,Pets are allowed on request. Charges may be applicable.,111
146,Amsterdam,Ecomama,8.3,https://www.booking.com/hotel/nl/jollycarlton.en-gb.html,Pets are allowed. Charges may be applicable.,68
147,Amsterdam,Albus Hotel Amsterdam City Centre,8.6,https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html,Pets are not allowed.,175
149,Amsterdam,XO Hotels Park West,8.6,https://www.booking.com/hotel/nl/citadel.en-gb.html,Pets are not allowed.,87
150,Amsterdam,Ozo Hotel,7.7,https://www.booking.com/hotel/nl/victoria.en-gb.html,Pets are not allowed.,118
151,Amsterdam,XO Hotels Park West,8.6,https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html,Pets are not allowed.,87
152,Amsterdam,Hotel Alexander,8.2,https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html,Pets are not allowed.,96
153,Amsterdam,WestCord Art Hotel Amsterdam 4 stars,8.4,https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html,Pets are not allowed.,108
155,Amsterdam,Hotel Not Hotel,8.1,https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html,Pets are allowed on request. Charges may be applicable.,79
156,Amsterdam,MEININGER Hotel Amsterdam Amstel,8.2,https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html,Pets are not allowed.,83
157,Amsterdam,PH Hotel Oosteinde,7.7,https://www.booking.com/hotel/nl/notting-hill.en-gb.html,Pets are not allowed.,102
158,Amsterdam,Citiez Hotel Amsterdam,8.2,https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html,Pets are allowed on request. Charges may be applicable.,91
159,Amsterdam,Hotel The Craftsmen,9.2,https://www.booking.com/hotel/nl/estherea.en-gb.html,Pets are not allowed.,282
160,Amsterdam,Prinsenhotel,8.1,https://www.booking.com/hotel/nl/cc.en-gb.html,Pets are not allowed.,101
161,Amsterdam,Melrose Hotel,7.9,https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html,Pets are not allowed.,150
162,Amsterdam,Conscious Hotel The Tire Station,8.7,https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html,Pets are not allowed.,65
163,Amsterdam,Ambassade Hotel,9.3,https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html,Pets are allowed. Charges may be applicable.,280
164,Amsterdam,Hotel Fine Harmony,7.9,https://www.booking.com/hotel/nl/amshofpark.en-gb.html,Pets are not allowed.,164
165,Amsterdam,Holiday Inn Amsterdam - Arena Towers,8.1,https://www.booking.com/hotel/nl/terminus.en-gb.html,Pets are not allowed.,98
166,Amsterdam,Wellnesshotel Zuiver Amsterdam,8.1,https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html,Pets are not allowed.,208
